dia,n,media_movel_7d,incompleto
2024-03-19,161.0,189.57142857142858,False
2024-03-20,188.0,191.57142857142858,False
2024-03-21,177.0,188.14285714285714,False
2024-03-22,195.0,184.42857142857142,False
2024-03-23,206.0,185.0,False
2024-03-24,200.0,189.0,False
2024-03-25,164.0,195.57142857142858,False
2024-03-26,165.0,193.85714285714286,False
2024-03-27,216.0,191.57142857142858,False
2024-03-28,223.0,195.0,False
2024-03-29,183.0,197.57142857142858,False
2024-03-30,190.0,199.14285714285714,False
2024-03-31,224.0,191.71428571428572,False
2024-04-01,182.0,181.14285714285714,False
2024-04-02,176.0,181.57142857142858,False
2024-04-03,164.0,190.42857142857142,False
2024-04-04,149.0,188.85714285714286,False
2024-04-05,186.0,194.57142857142858,False
2024-04-06,252.0,194.14285714285714,False
2024-04-07,213.0,197.0,False
2024-04-08,222.0,198.0,False
2024-04-09,173.0,205.14285714285714,False
2024-04-10,184.0,195.42857142857142,False
2024-04-11,156.0,195.14285714285714,False
2024-04-12,236.0,191.14285714285714,False
2024-04-13,184.0,189.28571428571428,False
2024-04-14,211.0,187.57142857142858,False
2024-04-15,194.0,193.0,False
2024-04-16,160.0,193.28571428571428,False
2024-04-17,172.0,199.42857142857142,False
2024-04-18,194.0,200.42857142857142,False
2024-04-19,238.0,199.28571428571428,False
2024-04-20,227.0,197.71428571428572,False
2024-04-21,218.0,197.85714285714286,False
2024-04-22,186.0,195.28571428571428,False
2024-04-23,149.0,193.85714285714286,False
2024-04-24,173.0,190.14285714285714,False
2024-04-25,176.0,194.57142857142858,False
2024-04-26,228.0,196.0,False
2024-04-27,201.0,201.28571428571428,False
2024-04-28,249.0,200.57142857142858,False
2024-04-29,196.0,199.71428571428572,False
2024-04-30,186.0,195.71428571428572,False
2024-05-01,168.0,197.71428571428572,False
2024-05-02,170.0,191.28571428571428,False
2024-05-03,200.0,185.85714285714286,False
2024-05-04,215.0,184.85714285714286,False
2024-05-05,204.0,190.57142857142858,False
2024-05-06,158.0,194.0,False
2024-05-07,179.0,197.57142857142858,False
2024-05-08,208.0,201.28571428571428,False
2024-05-09,194.0,205.14285714285714,False
2024-05-10,225.0,211.57142857142858,False
2024-05-11,241.0,211.14285714285714,False
2024-05-12,231.0,207.0,False
2024-05-13,203.0,202.57142857142858,False
2024-05-14,176.0,202.42857142857142,False
2024-05-15,179.0,202.85714285714286,False
2024-05-16,163.0,202.85714285714286,False
2024-05-17,224.0,199.71428571428572,False
2024-05-18,244.0,198.71428571428572,False
2024-05-19,231.0,197.57142857142858,False
2024-05-20,181.0,201.14285714285714,False
2024-05-21,169.0,201.57142857142858,False
2024-05-22,171.0,194.42857142857142,False
2024-05-23,188.0,196.57142857142858,False
2024-05-24,227.0,199.28571428571428,False
2024-05-25,194.0,199.14285714285714,False
2024-05-26,246.0,206.71428571428572,False
2024-05-27,200.0,209.14285714285714,False
2024-05-28,168.0,205.28571428571428,False
2024-05-29,224.0,205.71428571428572,False
2024-05-30,205.0,208.57142857142858,False
2024-05-31,200.0,208.42857142857142,False
2024-06-01,197.0,207.85714285714286,False
2024-06-02,266.0,199.14285714285714,False
2024-06-03,199.0,196.0,False
