dia,n,media_movel_7d
2023-04-13,141,177.14285714285714
2023-04-14,204,175.28571428571428
2023-04-15,180,176.28571428571428
2023-04-16,208,174.57142857142858
2023-04-17,204,176.0
2023-04-18,149,176.57142857142858
2023-04-19,169,179.28571428571428
2023-04-20,224,191.14285714285714
2023-04-21,196,190.0
2023-04-22,163,187.57142857142858
2023-04-23,200,186.42857142857142
2023-04-24,190,184.42857142857142
2023-04-25,176,188.28571428571428
2023-04-26,170,188.42857142857142
2023-04-27,169,180.57142857142858
2023-04-28,237,186.42857142857142
2023-04-29,219,194.42857142857142
2023-04-30,192,193.28571428571428
2023-05-01,210,196.14285714285714
2023-05-02,162,194.14285714285714
2023-05-03,155,192.0
2023-05-04,151,189.42857142857142
2023-05-05,194,183.28571428571428
2023-05-06,221,183.57142857142858
2023-05-07,167,180.0
2023-05-08,195,177.85714285714286
2023-05-09,147,175.71428571428572
2023-05-10,152,175.28571428571428
2023-05-11,195,181.57142857142858
2023-05-12,184,180.14285714285714
2023-05-13,240,182.85714285714286
2023-05-14,241,193.42857142857142
2023-05-15,160,188.42857142857142
2023-05-16,146,188.28571428571428
2023-05-17,139,186.42857142857142
2023-05-18,174,183.42857142857142
2023-05-19,198,185.42857142857142
2023-05-20,218,182.28571428571428
2023-05-21,207,177.42857142857142
2023-05-22,163,177.85714285714286
2023-05-23,147,178.0
2023-05-24,159,180.85714285714286
2023-05-25,179,181.57142857142858
2023-05-26,204,182.42857142857142
2023-05-27,230,184.14285714285714
2023-05-28,212,184.85714285714286
2023-05-29,168,185.57142857142858
2023-05-30,153,186.42857142857142
2023-05-31,167,187.57142857142858
2023-06-01,178,187.42857142857142
2023-06-02,196,186.28571428571428
2023-06-03,229,186.14285714285714
2023-06-04,197,184.0
2023-06-05,185,186.42857142857142
2023-06-06,153,186.42857142857142
2023-06-07,200,191.14285714285714
2023-06-08,204,194.85714285714286
2023-06-09,179,192.42857142857142
2023-06-10,205,189.0
2023-06-11,251,196.71428571428572
2023-06-12,196,198.28571428571428
2023-06-13,162,199.57142857142858
2023-06-14,171,195.42857142857142
2023-06-15,166,190.0
2023-06-16,205,193.71428571428572
2023-06-17,215,195.14285714285714
2023-06-18,221,190.85714285714286
2023-06-19,172,187.42857142857142
2023-06-20,165,187.85714285714286
2023-06-21,187,190.14285714285714
2023-06-22,165,190.0
2023-06-23,218,191.85714285714286
2023-06-24,227,193.57142857142858
2023-06-25,195,189.85714285714286
2023-06-26,174,190.14285714285714
2023-06-27,174,191.42857142857142
2023-06-28,167,188.57142857142858
2023-06-29,190,192.14285714285714
2023-06-30,188,187.85714285714286
2023-07-01,248,190.85714285714286
2023-07-02,216,193.85714285714286
2023-07-03,181,194.85714285714286
2023-07-04,154,192.0
2023-07-05,171,192.57142857142858
2023-07-06,175,190.42857142857142
2023-07-07,221,195.14285714285714
2023-07-08,231,192.71428571428572
2023-07-09,227,194.28571428571428
2023-07-10,173,193.14285714285714
2023-07-11,165,194.71428571428572
2023-07-12,171,194.71428571428572
2023-07-13,173,194.42857142857142
2023-07-14,211,193.0
2023-07-15,202,188.85714285714286
2023-07-16,222,188.14285714285714
2023-07-17,178,188.85714285714286
2023-07-18,155,187.42857142857142
2023-07-19,147,184.0
2023-07-20,148,180.42857142857142
2023-07-21,204,179.42857142857142
2023-07-22,215,181.28571428571428
2023-07-23,257,186.28571428571428
2023-07-24,182,186.85714285714286
2023-07-25,169,188.85714285714286
2023-07-26,171,192.28571428571428
2023-07-27,174,196.0
2023-07-28,213,197.28571428571428
2023-07-29,228,199.14285714285714
2023-07-30,212,192.71428571428572
2023-07-31,172,191.28571428571428
2023-08-01,172,191.71428571428572
2023-08-02,156,189.57142857142858
2023-08-03,166,188.42857142857142
2023-08-04,185,184.42857142857142
2023-08-05,208,181.57142857142858
2023-08-06,226,183.57142857142858
2023-08-07,168,183.0
2023-08-08,174,183.28571428571428
2023-08-09,166,184.71428571428572
2023-08-10,162,184.14285714285714
2023-08-11,232,190.85714285714286
2023-08-12,230,194.0
2023-08-13,213,192.14285714285714
2023-08-14,179,193.71428571428572
2023-08-15,161,191.85714285714286
2023-08-16,156,190.42857142857142
2023-08-17,147,188.28571428571428
2023-08-18,232,188.28571428571428
2023-08-19,200,184.0
2023-08-20,200,182.14285714285714
2023-08-21,143,177.0
2023-08-22,159,176.71428571428572
2023-08-23,151,176.0
2023-08-24,190,182.14285714285714
2023-08-25,183,175.14285714285714
2023-08-26,224,178.57142857142858
2023-08-27,211,180.14285714285714
2023-08-28,172,184.28571428571428
2023-08-29,141,181.71428571428572
2023-08-30,146,181.0
2023-08-31,160,176.71428571428572
2023-09-01,216,181.42857142857142
2023-09-02,237,183.28571428571428
2023-09-03,212,183.42857142857142
2023-09-04,163,182.14285714285714
2023-09-05,175,187.0
2023-09-06,212,196.42857142857142
2023-09-07,185,200.0
2023-09-08,196,197.14285714285714
2023-09-09,198,191.57142857142858
2023-09-10,226,193.57142857142858
2023-09-11,180,196.0
2023-09-12,148,192.14285714285714
2023-09-13,157,184.28571428571428
2023-09-14,181,183.71428571428572
2023-09-15,192,183.14285714285714
2023-09-16,216,185.71428571428572
2023-09-17,223,185.28571428571428
2023-09-18,190,186.71428571428572
2023-09-19,157,188.0
2023-09-20,172,190.14285714285714
2023-09-21,163,187.57142857142858
2023-09-22,166,183.85714285714286
2023-09-23,207,182.57142857142858
2023-09-24,212,181.0
2023-09-25,178,179.28571428571428
2023-09-26,175,181.85714285714286
2023-09-27,163,180.57142857142858
2023-09-28,160,180.14285714285714
2023-09-29,211,186.57142857142858
2023-09-30,193,184.57142857142858
2023-10-01,251,190.14285714285714
2023-10-02,191,192.0
2023-10-03,159,189.71428571428572
2023-10-04,157,188.85714285714286
2023-10-05,151,187.57142857142858
2023-10-06,235,191.0
2023-10-07,200,192.0
2023-10-08,229,188.85714285714286
